cel_file	chip_name
GC43.CEL	dinI_U_N0025_r1
GC44.CEL	dinI_U_N0025_r2
GC45.CEL	dinI_U_N0025_r3
GC46.CEL	dinP_U_N0025_r1
GC47.CEL	dinP_U_N0025_r2
GC48.CEL	dinP_U_N0025_r3
GC49.CEL	lexA_U_N0025_r1
GC50.CEL	lexA_U_N0025_r2
GC51.CEL	lexA_U_N0025_r3
GC52.CEL	lon_U_N0025_r1
GC53.CEL	lon_U_N0025_r2
GC54.CEL	lon_U_N0025_r3
GC55.CEL	luc_U_N0025_r1
GC56.CEL	luc_U_N0025_r2
GC57.CEL	luc_U_N0025_r3
GC58.CEL	mazF_U_N0025_r1
GC59.CEL	mazF_U_N0025_r2
GC60.CEL	mazF_U_N0025_r3
GC61.CEL	recA_U_N0025_r1
GC62.CEL	recA_U_N0025_r2
GC63.CEL	recA_U_N0025_r3
GC64.CEL	relA_U_N0025_r1
GC65.CEL	relA_U_N0025_r2
GC66.CEL	relA_U_N0025_r3
GC67.CEL	ruvA_U_N0025_r1
GC68.CEL	ruvA_U_N0025_r2
GC69.CEL	ruvA_U_N0025_r3
GC70.CEL	sulA_U_N0025_r1
GC71.CEL	sulA_U_N0025_r2
GC72.CEL	sulA_U_N0025_r3
GC73.CEL	umuD_U_N0025_r1
GC74.CEL	umuD_U_N0025_r2
GC75.CEL	umuD_U_N0025_r3
GC76.CEL	uvrA_U_N0025_r1
GC77.CEL	uvrA_U_N0025_r2
GC78.CEL	uvrA_U_N0025_r3
GC99.CEL	yebF_U_N0075_r1
GC100.CEL	yebF_U_N0075_r2
GC101.CEL	yebF_U_N0075_r3
GC102.CEL	luc_U_N0075_r1
GC103.CEL	luc_U_N0075_r2
GC104.CEL	luc_U_N0075_r3
GC105.CEL	zipA_U_N0075_r1
GC106.CEL	zipA_U_N0075_r2
GC107.CEL	zipA_U_N0075_r3
GC108.CEL	luc_U_N0000_r1
GC109.CEL	luc_U_N0000_r2
GC110.CEL	luc_U_N0000_r3
GC111.CEL	b2618_U_N0075_r1
GC152.CEL	b2618_U_N0075_r2
GC193.CEL	b2618_U_N0075_r3
GC112.CEL	bcp_U_N0075_r1
GC153.CEL	bcp_U_N0075_r2
GC194.CEL	bcp_U_N0075_r3
GC113.CEL	cpxR_U_N0075_r1
GC154.CEL	cpxR_U_N0075_r2
GC195.CEL	cpxR_U_N0075_r3
GC114.CEL	crcB_U_N0075_r1
GC155.CEL	crcB_U_N0075_r2
GC196.CEL	crcB_U_N0075_r3
GC115.CEL	crp_U_N0075_r1
GC156.CEL	crp_U_N0075_r2
GC197.CEL	crp_U_N0075_r3
GC116.CEL	cspF_U_N0075_r1
GC157.CEL	cspF_U_N0075_r2
GC198.CEL	cspF_U_N0075_r3
GC117.CEL	dam_U_N0075_r1
GC158.CEL	dam_U_N0075_r2
GC199.CEL	dam_U_N0075_r3
